date,contract_preamble,expiry_date,daily_volume,mean,median,mode,skewness,kurtosis,variance
2024-07-13,U3-24JUL,2024-08-02,317,4.120408163265306,4.1,4.199999999999999,0.18518518518518365,-0.7479063386031894,0.017338608912952896
2024-07-14,U3-24JUL,2024-08-02,437,4.135714285714285,4.199999999999999,4.199999999999999,-0.6237623762376224,-0.8188215032621979,0.018010204081632612
2024-07-15,U3-24JUL,2024-08-02,141,4.1316326530612235,4.199999999999999,4.199999999999999,-0.6380952380952414,-0.9013251395815458,0.01828508954602245
2024-07-16,U3-24JUL,2024-08-02,457,4.123469387755102,4.1,4.199999999999999,0.21495327102803927,-0.615644969214618,0.018734902124114917
2024-07-17,U3-24JUL,2024-08-02,463,4.120408163265306,4.1,4.199999999999999,0.1886792452830173,-0.7024548857559507,0.017134527280299836
2024-07-18,U3-24JUL,2024-08-02,250,4.114285714285714,4.1,4.199999999999999,0.13999999999999968,-0.4693193559556734,0.015510204081632622
2024-07-19,U3-24JUL,2024-08-02,1800,4.115306122448978,4.1,4.199999999999999,0.14851485148514942,-0.40566282629311656,0.015990212411495182
2024-07-20,U3-24JUL,2024-08-02,19,4.111224489795918,4.1,4.199999999999999,0.113402061855666,-0.3074888169288812,0.01569033735943354
2024-07-21,U3-24JUL,2024-08-02,14,4.122448979591836,4.199999999999999,4.199999999999999,-0.730769230769228,-0.5199000629250006,0.01643481882548935
2024-07-22,U3-24JUL,2024-08-02,623,4.1316326530612235,4.199999999999999,4.199999999999999,-0.6261682242990688,-0.6205600454803801,0.01746876301541021
2024-07-23,U3-24JUL,2024-08-02,589,4.1316326530612235,4.199999999999999,4.199999999999999,-0.6261682242990688,-0.6205600454803801,0.01746876301541021
2024-07-24,U3-24JUL,2024-08-02,105,4.128571428571428,4.199999999999999,4.199999999999999,-0.6730769230769212,-0.5103944080904199,0.016734693877551013
2024-07-25,U3-24JUL,2024-08-02,237,4.119387755102041,4.1,4.199999999999999,0.19191919191918885,-0.39599906612933644,0.016256768013327774
2024-07-26,U3-24JUL,2024-08-02,241,4.106122448979591,4.1,4.1,0.06976744186046342,-0.14702077890646725,0.014656393169512704
2024-07-27,U3-24JUL,2024-08-02,119,4.109183673469388,4.1,4.1,0.10112359550562043,-0.2774517032186643,0.014915660141607666
2024-07-28,U3-24JUL,2024-08-02,10,4.110204081632653,4.1,4.1,0.11363636363636749,-0.25192793311153583,0.014793835901707623
2024-07-29,U3-24JUL,2024-08-02,40,4.128571428571428,4.1,4.199999999999999,0.2745098039215679,-0.5894562673130159,0.015510204081632648
2024-07-30,U3-24JUL,2024-08-02,1878,4.104081632653061,4.1,4.1,0.043478260869561004,-0.3210310348635126,0.015289462723865057
2024-07-31,U3-24JUL,2024-08-02,2775,4.115306122448979,4.1,4.1,0.18987341772151994,0.44304079782810213,0.014357559350270716
2024-08-01,U3-24JUL,2024-08-02,8593,4.092857142857143,4.1,4.1,-0.07070707070707047,-0.6253696444970416,0.01658163265306123
2024-08-02,U3-24JUL,2024-08-02,4659,4.1,4.1,4.1,0,-0.532365320035348,0.018163265306122448
